SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,CRN,EXAM_DATE,EXAM_TIME,BLDG_CODE,ROOM_CODE
CHEM,213,002,10711,12/7/2022,1400,TBA,TBA
CHEM,213,009,14759,12/7/2022,1900,TBA,TBA
HEAL,498,001,14026,12/7/2022,1900,TBA,TBA
ELEC,380,002,14884,12/7/2022,1900,TBA,TBA
BIOE,380,002,14886,12/7/2022,1900,TBA,TBA
CHBE,302,002,14941,12/7/2022,1900,TBA,TBA
FWIS,187,001,13570,12/7/2022,0900,TBA,TBA
FWIS,176,001,14618,12/7/2022,0900,TBA,TBA
FWIS,132,001,13999,12/7/2022,1400,TBA,TBA
FWIS,137,002,14000,12/7/2022,1400,TBA,TBA
FWIS,141,001,14703,12/7/2022,0900,TBA,TBA
FWIS,141,002,14704,12/7/2022,1900,TBA,TBA
FWIS,145,001,14684,12/7/2022,1400,TBA,TBA
FWIS,148,001,15014,12/7/2022,1400,TBA,TBA
FWIS,150,001,14001,12/7/2022,1900,TBA,TBA
FWIS,151,001,13538,12/7/2022,0900,TBA,TBA
CAAM,210,001,10384,12/7/2022,0900,TBA,TBA
CAAM,210,002,14270,12/7/2022,0900,TBA,TBA
CAAM,210,003,14271,12/7/2022,0900,TBA,TBA
CAAM,210,004,14272,12/7/2022,0900,TBA,TBA
CAAM,210,005,14273,12/7/2022,0900,TBA,TBA
CAAM,210,006,14274,12/7/2022,0900,TBA,TBA
CAAM,210,007,14275,12/7/2022,0900,TBA,TBA
CAAM,210,009,14277,12/7/2022,0900,TBA,TBA
CAAM,210,010,14278,12/7/2022,0900,TBA,TBA
CAAM,335,001,10029,12/7/2022,1900,HRZ,210
CAAM,423,001,12747,12/7/2022,0900,HBH,227
CAAM,523,001,12748,12/7/2022,0900,HBH,227
SWGS,493,001,14230,12/7/2022,1900,TBA,TBA
LALX,158,001,14406,12/7/2022,1400,TBA,TBA
UNIV,330,001,12713,12/7/2022,1900,TBA,TBA
UNIV,330,002,13682,12/7/2022,1900,TBA,TBA
UNIV,330,003,13683,12/7/2022,1900,TBA,TBA
UNIV,330,005,13685,12/7/2022,1900,TBA,TBA
UNIV,330,006,13686,12/7/2022,1900,TBA,TBA
UNIV,330,008,13688,12/7/2022,1900,TBA,TBA
UNIV,330,010,14940,12/7/2022,1900,TBA,TBA
ANTH,352,001,14341,12/7/2022,1900,TBA,TBA
ANTH,552,001,14405,12/7/2022,1900,TBA,TBA
ANTH,419,001,14342,12/7/2022,0900,TBA,TBA
CEVE,400,001,14331,12/7/2022,1900,SEW,309
MECH,400,001,14036,12/7/2022,1900,SEW,309
ASIA,214,001,14368,12/7/2022,1400,TBA,TBA
ASIA,236,001,14359,12/7/2022,1900,TBA,TBA
BIOS,212,001,12329,12/7/2022,0900,TBA,TBA
BIOS,212,003,12554,12/7/2022,0900,TBA,TBA
FILM,434,001,14349,12/7/2022,1900,TBA,TBA
HIST,435,001,14325,12/7/2022,1900,TBA,TBA
EEPS,437,001,14396,12/7/2022,0900,KWG,100
EEPS,637,001,14397,12/7/2022,0900,KWG,100
SPAN,158,001,14880,12/7/2022,1400,TBA,TBA
SPAN,330,001,14932,12/7/2022,1900,TBA,TBA
ENGL,205,001,13976,12/7/2022,1400,TBA,TBA
ENGL,205,002,14258,12/7/2022,1400,TBA,TBA
ENGL,305,001,13593,12/7/2022,0900,TBA,TBA
ENGL,305,002,13819,12/7/2022,0900,TBA,TBA
MATH,101,S03,10595,12/8/2022,0900,KCK,100
MATH,101,S01,11323,12/8/2022,0900,ANH,117
MATH,101,S05,12179,12/8/2022,0900,HRZ,212
MATH,101,S02,14154,12/8/2022,0900,HUM,117
MATH,101,S04,14155,12/8/2022,0900,ABL,131
ANTH,205,001,10715,12/8/2022,1900,SEW,309
MATH,102,S03,10056,12/8/2022,0900,HRZ,AMP
MATH,102,S01,11324,12/8/2022,0900,KWG,100
MATH,102,S04,11868,12/8/2022,0900,HRZ,AMP
MATH,212,S01,10057,12/8/2022,0900,DCH,1055
MATH,212,S02,11354,12/8/2022,0900,HRZ,210
MATH,212,S05,12180,12/8/2022,0900,RYN,201
MATH,212,S07,13652,12/8/2022,0900,HRG,100
MATH,212,S08,14156,12/8/2022,0900,HRG,100
MATH,221,S01,10058,12/8/2022,0900,KRF,110
BIOE,385,002,10211,12/8/2022,0900,TBA,TBA
MUSI,342,002,10135,12/8/2022,1400,TBA,TBA
MILI,301,001,10566,12/8/2022,1400,TBA,TBA
MILI,401,001,11729,12/8/2022,1400,TBA,TBA
FILM,432,001,13713,12/8/2022,1900,TBA,TBA
ARTS,432,001,13742,12/8/2022,1900,TBA,TBA
MILI,106,001,10560,12/8/2022,1400,TBA,TBA
ANTH,493,001,11688,12/8/2022,1400,TBA,TBA
ARCH,350,001,12103,12/8/2022,1900,TBA,TBA
ARCH,550,003,15071,12/8/2022,1900,TBA,TBA
MATH,111,S01,11923,12/8/2022,0900,BRK,101
SOSC,445,001,11747,12/8/2022,1900,TBA,TBA
HART,125,001,14170,12/8/2022,1900,TBA,TBA
THEA,331,001,10214,12/8/2022,1900,TBA,TBA
THEA,331,002,12696,12/8/2022,1900,TBA,TBA
ENST,250,001,11926,12/8/2022,1900,TBA,TBA
ASIA,495,001,13380,12/8/2022,1900,TBA,TBA
UNIV,180,001,13584,12/8/2022,1400,TBA,TBA
PJHC,300,001,12100,12/8/2022,1400,TBA,TBA
MATH,211,S02,11630,12/8/2022,0900,SEW,301
MATH,211,S02,11630,12/8/2022,0900,SEW,309
MATH,211,S07,11631,12/8/2022,0900,KCK,102
MATH,211,S01,13653,12/8/2022,0900,DBH,180
POLI,102,001,12247,12/8/2022,1900,TBA,TBA
ENGI,301,001,11681,12/8/2022,1400,TBA,TBA
COLL,150,001,14306,12/8/2022,1900,TBA,TBA
COLL,171,001,14307,12/8/2022,1900,TBA,TBA
COLL,125,001,14311,12/8/2022,1900,TBA,TBA
COLL,197,001,14312,12/8/2022,1900,TBA,TBA
COLL,158,001,14315,12/8/2022,1900,TBA,TBA
COLL,134,001,14317,12/8/2022,1900,TBA,TBA
COLL,107,001,14318,12/8/2022,1900,TBA,TBA
COLL,128,001,14319,12/8/2022,1900,TBA,TBA
CHEM,452,001,14380,12/8/2022,1900,BRC,282
CHEM,552,001,12806,12/8/2022,1900,BRC,282
COLL,222,001,14922,12/8/2022,1900,TBA,TBA
MUSI,117,002,10226,12/9/2022,1900,TBA,TBA
MUSI,341,017,10831,12/9/2022,1400,TBA,TBA
MUSI,341,033,10835,12/9/2022,1400,TBA,TBA
MUSI,341,002,11017,12/9/2022,1400,TBA,TBA
MUSI,341,009,11023,12/9/2022,1400,TBA,TBA
MUSI,441,019,10837,12/9/2022,1400,TBA,TBA
MUSI,441,011,11046,12/9/2022,1400,TBA,TBA
MUSI,441,031,11280,12/9/2022,1400,TBA,TBA
MUSI,449,022,12132,12/9/2022,1400,TBA,TBA
RELI,223,001,14080,12/9/2022,0900,TBA,TBA
MUSI,331,001,10131,12/9/2022,0900,TBA,TBA
MUSI,331,002,10309,12/9/2022,0900,TBA,TBA
