PERSON_IDENTIFIER,TERM_DESC,CRN,SUBJ_CODE,CRSE_NUMB,SECTION,SCHEDULE_TYPE,TITLE
35,Fall Semester 2022,10125,MUSI,281,001,STU,SECONDARY PIANO
35,Fall Semester 2022,10454,MUSI,493,002,STU,VIOLA FOR MAJORS
35,Fall Semester 2022,14171,HART,205,001,LEC,ART SINCE 1945
36,Fall Semester 2022,10495,MUSI,338,008,STU,CHAMBER MUSIC - UG
36,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
36,Fall Semester 2022,10155,MUSI,495,001,STU,VIOLONCELLO FOR MAJORS
36,Fall Semester 2022,10123,MUSI,211,001,LEC,THEORY I
36,Fall Semester 2022,10124,MUSI,231,002,LL,AURAL SKILLS & PERFORM TECH I
36,Fall Semester 2022,14182,HART,374,001,SEM,ART OF THE FRENCH REVOLUTION
36,Fall Semester 2022,14003,FWIS,181,001,SEM,AFRICAN AMERICAN GRAPHIC NOVEL
37,Fall Semester 2022,10497,MUSI,338,010,STU,CHAMBER MUSIC - UG
37,Fall Semester 2022,10130,MUSI,321,001,LEC,BAROQUE & EARLY CLASSICAL ERAS
37,Fall Semester 2022,10309,MUSI,331,002,LL,AURAL SKILLS & PERF TECH III
37,Fall Semester 2022,10128,MUSI,311,001,LEC,THEORETICAL STUDIES III
37,Fall Semester 2022,10448,MUSI,481,002,STU,PIANO FOR MAJORS
37,Fall Semester 2022,10650,BUSI,310,001,LEC,LEADING IN ORGANIZATIONS
37,Fall Semester 2022,12982,MUSI,335,001,STU,RICE CHORALE
38,Fall Semester 2022,10497,MUSI,338,010,STU,CHAMBER MUSIC - UG
38,Fall Semester 2022,11046,MUSI,441,011,STU,SENIOR RECITAL
38,Fall Semester 2022,10126,MUSI,291,001,STU,SECONDARY VIOLIN
38,Fall Semester 2022,10931,SMGT,362,901,LEC,SPORT MARKETING
38,Fall Semester 2022,10448,MUSI,481,002,STU,PIANO FOR MAJORS
