CRN,TERM_CODE,SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,SUBJ_DESC,SCHOOL_DESC,DEPT_DESC,ENRL,MAX_ENRL,MEETING,CRSE_TITLE,XLST_ENRL,XLST_MAX_ENRL,XLST_GROUP,INSTR_NAME,EXAM_TYPE
13894,202310,ANTH,317,001,Anthropology,School of Social Sciences,Anthropology,18,50,12:00PM - 02:30PM M DCC 113,REVOLUTIONS AND UTOPIAS,20,50,0B,"Boyer, Dominic C.",Take-Home Exam
13896,202310,ANTH,332,001,Anthropology,School of Social Sciences,Anthropology,18,50,03:00PM - 05:29PM F DCC 113,SOCIAL LIFE OF CLEAN ENERGY,30,50,29,"Boyer, Dominic C.",Take-Home Exam
13898,202310,ANTH,344,002,Anthropology,School of Social Sciences,Anthropology,13,16,04:00PM - 06:30PM T RZR 119,CITY/CULTURE,15,20,0N,"Gunel, Gokce",No Final Exam
13900,202310,ANTH,363,001,Anthropology,School of Social Sciences,Anthropology,17,18,10:50AM - 12:05PM TR RZR 304,ARCHAEOLOGY CITIES AND STATE,18,19,0R,"Morgan, Molly",No Final Exam
13902,202310,ANTH,396,001,Anthropology,School of Social Sciences,Anthropology,12,15,10:50AM - 12:05PM TR RZR 123,LAW AND RESISTANCE,26,30,22,"Fietz, Helena",No Final Exam
13904,202310,ANTH,399,001,Anthropology,School of Social Sciences,Anthropology,14,15,04:00PM - 06:30PM W SEW 562,ANTHROPOLOGY OF REPRODUCTION,,,,"Georges, Eugenia",No Final Exam
13909,202310,ANTH,409,001,Anthropology,School of Social Sciences,Anthropology,2,10,02:30PM - 05:00PM R SEW 562,SLOW READING SEM,7,20,0T,"Howe, Alyssa C.",No Final Exam
13911,202310,ANTH,418,001,Anthropology,School of Social Sciences,Anthropology,2,10,04:00PM - 06:30PM M RZR 305,WRITING ETHNOGRAPHY,8,20,0X,"Visweswaran, Kamala",No Final Exam
13914,202310,ANTH,490,003,Anthropology,School of Social Sciences,Anthropology,1,0, -   TBA TBA,DIRECTED HONORS RESEARCH,,,,"Georges, Eugenia",No Final Exam
13915,202310,ANTH,490,005,Anthropology,School of Social Sciences,Anthropology,1,0, -   TBA TBA,DIRECTED HONORS RESEARCH,,,,"Estrella, Amarilys",No Final Exam
14341,202310,ANTH,352,001,Anthropology,School of Social Sciences,Anthropology,11,20,02:00PM - 03:15PM MW SEW 101,PEOPLE AND ANIMALS IN THE PAST,13,22,3O,"Prendergast, Mary E.",No Final Exam
